GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38
1400000US36047024400,36047024400,"Census Tract 244, Kings County, New York",3363,243,1378,298,346,160,100,74,246,120,0,11,0,11,0,11,999,325,712,268,287,148,21,25,0,11,21,25,66,45,42,37,24,28,0,11,0,11,0,11,275,110,106,54,169,75,0,11,0,11,0,11,93,134,48,63,45,73,0,11,0,11,0,11,21,25,10,16,11,11,164,124,70,60,94,94
1400000US36047024500,36047024500,"Census Tract 245, Kings County, New York",3953,531,3327,509,178,93,143,73,35,36,114,122,114,122,0,11,32,33,15,26,17,19,17,19,17,19,0,11,150,93,32,37,118,88,0,11,0,11,0,11,53,73,31,38,22,36,0,11,0,11,0,11,0,11,0,11,0,11,10,17,10,17,0,11,30,37,0,11,30,37,42,63,21,32,21,31
1400000US36047024600,36047024600,"Census Tract 246, Kings County, New York",2834,353,940,256,188,127,119,80,69,67,0,11,0,11,0,11,292,167,188,128,104,75,108,83,30,30,78,69,246,98,110,59,136,59,0,11,0,11,0,11,874,210,262,103,612,163,0,11,0,11,0,11,10,16,10,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,176,144,122,122,54,57
1400000US36047024700,36047024700,"Census Tract 247, Kings County, New York",2160,201,1696,206,145,84,66,39,79,77,119,57,85,47,34,28,13,14,13,14,0,11,5,8,0,11,5,8,63,49,7,11,56,46,0,11,0,11,0,11,41,53,11,14,30,39,0,11,0,11,0,11,0,11,0,11,0,11,18,20,0,11,18,20,0,11,0,11,0,11,60,59,30,30,30,29
1400000US36047024800,36047024800,"Census Tract 248, Kings County, New York",2785,200,531,138,639,238,278,179,361,182,0,11,0,11,0,11,138,134,133,133,5,7,208,73,76,31,132,53,149,48,33,24,116,48,0,11,0,11,0,11,949,227,224,79,725,193,63,85,40,56,23,29,0,11,0,11,0,11,0,11,0,11,0,11,47,54,5,7,42,52,61,38,26,18,35,26
1400000US36047024900,36047024900,"Census Tract 249, Kings County, New York",4075,393,3456,374,149,97,114,74,35,44,139,105,106,94,33,52,10,15,10,15,0,11,0,11,0,11,0,11,166,152,73,69,93,107,0,11,0,11,0,11,13,24,6,12,7,12,0,11,0,11,0,11,0,11,0,11,0,11,7,12,7,12,0,11,0,11,0,11,0,11,135,124,125,123,10,16
1400000US36047025000,36047025000,"Census Tract 250, Kings County, New York",1332,168,309,100,151,107,65,44,86,84,0,11,0,11,0,11,0,11,0,11,0,11,19,26,0,11,19,26,156,64,45,26,111,57,0,11,0,11,0,11,659,163,205,99,454,126,0,11,0,11,0,11,0,11,0,11,0,11,5,7,0,11,5,7,33,51,0,11,33,51,0,11,0,11,0,11
1400000US36047025100,36047025100,"Census Tract 251, Kings County, New York",3301,393,2668,344,330,151,218,110,112,78,135,162,20,31,115,150,0,11,0,11,0,11,10,15,10,15,0,11,22,24,22,24,0,11,9,13,9,13,0,11,46,47,0,11,46,47,0,11,0,11,0,11,11,16,11,16,0,11,0,11,0,11,0,11,0,11,0,11,0,11,70,66,59,65,11,17
1400000US36047025200,36047025200,"Census Tract 252, Kings County, New York",4966,390,1139,294,633,298,333,160,300,204,20,31,20,31,0,16,0,16,0,16,0,16,627,192,153,105,474,150,519,198,280,151,239,138,0,16,0,16,0,16,1585,320,551,166,1034,275,9,13,9,13,0,16,0,16,0,16,0,16,52,59,30,35,22,25,260,190,76,82,184,120,122,143,52,59,70,85
1400000US36047025300,36047025300,"Census Tract 253, Kings County, New York",2643,317,1988,320,287,141,156,100,131,105,0,11,0,11,0,11,64,60,37,34,27,28,24,35,0,11,24,35,164,102,137,94,27,29,24,39,9,14,15,26,19,29,19,29,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,17,14,17,0,11,13,18,0,11,13,18,46,39,46,39,0,11
1400000US36047025400,36047025400,"Census Tract 254, Kings County, New York",4077,460,719,196,366,227,107,76,259,204,18,26,18,26,0,11,98,80,91,75,7,12,172,112,47,37,125,86,320,170,106,72,214,141,0,11,0,11,0,11,1921,436,462,114,1459,412,23,38,7,12,16,25,0,11,0,11,0,11,158,107,59,55,99,74,164,176,32,51,132,157,118,143,100,118,18,27
