,w_geocode,h_geocode,S000,SA01,SA02,SA03,SE01,SE02,SE03,SI01,SI02,SI03,createdate,origin_lat,origin_lon,origin_county,dest_lat,dest_lon,dest_county,linestring
7305588,361190119023005,361190090003000,2,0,1,1,0,1,1,0,0,2,20170919,41.0355646,-73.7716042,"Westchester County, NY",41.0694738,-73.7791766,"Westchester County, NY","LINESTRING(-73.7716042 41.0355646, -73.7791766 41.0694738)"
5328500,360810019001006,360810235004003,2,0,2,0,1,1,0,2,0,0,20170919,40.7400715,-73.91789200000001,"Queens County, NY",40.751026200000005,-73.95042009999999,"Queens County, NY","LINESTRING(-73.91789200000001 40.7400715, -73.95042009999999 40.751026200000005)"
1710323,360470366001013,360470448001001,2,0,2,0,0,2,0,0,0,2,20170919,40.6176865,-73.9730548,"Kings County, NY",40.582207000000004,-73.9605507,"Kings County, NY","LINESTRING(-73.9730548 40.6176865, -73.9605507 40.582207000000004)"
3428446,360610056002001,360810004003004,1,0,1,0,0,0,1,0,1,0,20170919,40.6889216,-73.8622829,"Queens County, NY",40.7404206,-73.9879318,"New York County, NY","LINESTRING(-73.8622829 40.6889216, -73.9879318 40.7404206)"
6068235,360870128003000,360870101014067,1,0,1,0,0,0,1,0,0,1,20170919,41.226027200000004,-74.04095009999999,"Rockland County, NY",41.0615606,-74.00783220000001,"Rockland County, NY","LINESTRING(-74.04095009999999 41.226027200000004, -74.00783220000001 41.0615606)"
3666395,360610082001006,360595214004000,1,0,1,0,0,0,1,0,0,1,20170919,40.6646202,-73.46087920000001,"Nassau County, NY",40.750253,-73.98009090000001,"New York County, NY","LINESTRING(-73.46087920000001 40.6646202, -73.98009090000001 40.750253)"
3221593,360610033001008,360594094001011,1,0,1,0,0,0,1,0,0,1,20170919,40.71551029999999,-73.4944156,"Nassau County, NY",40.7161493,-74.006631,"New York County, NY","LINESTRING(-73.4944156 40.71551029999999, -74.006631 40.7161493)"
5573044,360810461001006,360050068001002,1,0,1,0,0,0,1,0,0,1,20170919,40.8300314,-73.8702917,"Bronx County, NY",40.740824200000006,-73.87413790000001,"Queens County, NY","LINESTRING(-73.8702917 40.8300314, -73.87413790000001 40.740824200000006)"
3603552,360610077001002,360810497001002,1,0,0,1,1,0,0,0,0,1,20170919,40.7321883,-73.8908921,"Queens County, NY",40.737156299999995,-74.0011707,"New York County, NY","LINESTRING(-73.8908921 40.7321883, -74.0011707 40.737156299999995)"
4375845,360610131001002,360050205011008,2,0,2,0,0,1,1,0,0,2,20170919,40.846207899999996,-73.92417409999999,"Bronx County, NY",40.7614338,-73.9811606,"New York County, NY","LINESTRING(-73.92417409999999 40.846207899999996, -73.9811606 40.7614338)"
2819357,360595170001013,360595179011019,1,0,1,0,0,0,1,0,0,1,20170919,40.904821999999996,-73.5636028,"Nassau County, NY",40.887184399999995,-73.6326412,"Nassau County, NY","LINESTRING(-73.5636028 40.904821999999996, -73.6326412 40.887184399999995)"
3203765,360610031001021,360810972034004,1,1,0,0,0,1,0,0,0,1,20170919,40.595151200000004,-73.7876212,"Queens County, NY",40.7131153,-74.00570929999999,"New York County, NY","LINESTRING(-73.7876212 40.595151200000004, -74.00570929999999 40.7131153)"
5859758,360811551023000,360811617003007,2,0,2,0,0,0,2,0,0,2,20170919,40.7298074,-73.7186188,"Queens County, NY",40.75151470000001,-73.71066429999999,"Queens County, NY","LINESTRING(-73.7186188 40.7298074, -73.71066429999999 40.75151470000001)"
6313470,361031109013012,361031478022021,1,1,0,0,1,0,0,0,1,0,20170919,40.7234504,-73.08029909999999,"Suffolk County, NY",40.862033399999994,-73.4242147,"Suffolk County, NY","LINESTRING(-73.08029909999999 40.7234504, -73.4242147 40.862033399999994)"
2600480,360594066004007,360594124004007,1,1,0,0,1,0,0,0,0,1,20170919,40.6632156,-73.64940340000001,"Nassau County, NY",40.7388468,-73.6344009,"Nassau County, NY","LINESTRING(-73.64940340000001 40.6632156, -73.6344009 40.7388468)"
5698951,360810743001000,360594115002011,1,0,0,1,0,0,1,0,0,1,20170919,40.636284499999995,-73.68235279999999,"Nassau County, NY",40.73428679999999,-73.8489978,"Queens County, NY","LINESTRING(-73.68235279999999 40.636284499999995, -73.8489978 40.73428679999999)"
4062391,360610109001000,360811291023006,1,0,1,0,0,0,1,0,0,1,20170919,40.7308492,-73.7571257,"Queens County, NY",40.7522799,-73.98678129999999,"New York County, NY","LINESTRING(-73.7571257 40.7308492, -73.98678129999999 40.7522799)"
1697961,360470342002000,360470174001000,1,1,0,0,1,0,0,0,0,1,20170919,40.6038638,-74.0129804,"Kings County, NY",40.574667100000006,-73.9957753,"Kings County, NY","LINESTRING(-74.0129804 40.6038638, -73.9957753 40.574667100000006)"
3510607,360610067004006,360610149003000,2,1,1,0,0,0,2,0,0,2,20170919,40.7720544,-73.980798,"New York County, NY",40.7290501,-74.0061461,"New York County, NY","LINESTRING(-73.980798 40.7720544, -74.0061461 40.7290501)"
3232992,360610033002009,360470768003006,1,0,0,1,0,0,1,1,0,0,20170919,40.6167711,-73.9595392,"Kings County, NY",40.7170972,-74.0071031,"New York County, NY","LINESTRING(-73.9595392 40.6167711, -74.0071031 40.7170972)"
3280284,360610038001004,360810357003002,1,0,1,0,1,0,0,0,1,0,20170919,40.769416899999996,-73.8702537,"Queens County, NY",40.72804910000001,-73.98921429999999,"New York County, NY","LINESTRING(-73.8702537 40.769416899999996, -73.98921429999999 40.72804910000001)"
6438517,361031228022008,360595218012020,1,0,1,0,0,1,0,0,1,0,20170919,40.6803412,-73.4393196,"Nassau County, NY",40.738080700000005,-73.3171033,"Suffolk County, NY","LINESTRING(-73.4393196 40.6803412, -73.3171033 40.738080700000005)"
2924273,360595197043012,360594130023010,1,0,1,0,1,0,0,0,1,0,20170919,40.6271912,-73.6574887,"Nassau County, NY",40.7763854,-73.47257009999998,"Nassau County, NY","LINESTRING(-73.6574887 40.6271912, -73.47257009999998 40.7763854)"
5404496,360810132002013,360470770002005,1,0,0,1,0,1,0,0,0,1,20170919,40.6359609,-73.9577759,"Kings County, NY",40.6996548,-73.83367890000001,"Queens County, NY","LINESTRING(-73.9577759 40.6359609, -73.83367890000001 40.6996548)"
3835361,360610094001012,360610188001001,1,0,1,0,0,0,1,0,1,0,20170919,40.7974938,-73.9358673,"New York County, NY",40.7535991,-73.9781061,"New York County, NY","LINESTRING(-73.9358673 40.7974938, -73.9781061 40.7535991)"
6717181,361031582024002,361031583181010,1,0,1,0,1,0,0,1,0,0,20170919,40.9562033,-72.9656591,"Suffolk County, NY",40.923276200000004,-73.0559843,"Suffolk County, NY","LINESTRING(-72.9656591 40.9562033, -73.0559843 40.923276200000004)"
6548795,361031456032000,361031460021001,1,0,0,1,0,0,1,0,0,1,20170919,40.7612655,-73.2518865,"Suffolk County, NY",40.7928954,-73.26773229999999,"Suffolk County, NY","LINESTRING(-73.2518865 40.7612655, -73.26773229999999 40.7928954)"
3069786,360610013002005,360610199006001,1,0,1,0,0,0,1,0,0,1,20170919,40.804013399999995,-73.9653107,"New York County, NY",40.7057341,-74.01580109999999,"New York County, NY","LINESTRING(-73.9653107 40.804013399999995, -74.01580109999999 40.7057341)"
6590425,361031459023016,361031460022011,1,0,1,0,0,1,0,0,1,0,20170919,40.7488325,-73.254339,"Suffolk County, NY",40.761331,-73.2737925,"Suffolk County, NY","LINESTRING(-73.254339 40.7488325, -73.2737925 40.761331)"
3542588,360610072004002,360870109022013,1,1,0,0,1,0,0,0,0,1,20170919,41.142568100000005,-73.9340642,"Rockland County, NY",40.742616999999996,-73.9814358,"New York County, NY","LINESTRING(-73.9340642 41.142568100000005, -73.9814358 40.742616999999996)"
6683810,361031580015000,361031582074011,1,0,0,1,0,0,1,0,1,0,20170919,40.9421766,-73.05279909999999,"Suffolk County, NY",40.9402353,-73.1127797,"Suffolk County, NY","LINESTRING(-73.05279909999999 40.9421766, -73.1127797 40.9402353)"
2404105,360593006002000,360810638004006,1,0,1,0,0,1,0,0,0,1,20170919,40.668964200000005,-73.7306813,"Queens County, NY",40.7940691,-73.71127740000001,"Nassau County, NY","LINESTRING(-73.7306813 40.668964200000005, -73.71127740000001 40.7940691)"
5343298,360810031002001,360050442005001,1,0,0,1,0,1,0,0,0,1,20170919,40.9036354,-73.8490824,"Bronx County, NY",40.7534443,-73.9328578,"Queens County, NY","LINESTRING(-73.8490824 40.9036354, -73.9328578 40.7534443)"
